"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst"
"r02c03f01p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f01p11-ch2sk1fk1fl1","11"
"r02c03f01p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f01p12-ch2sk1fk1fl1","12"
"r02c03f01p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f01p13-ch2sk1fk1fl1","13"
"r02c03f01p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f01p14-ch2sk1fk1fl1","14"
"r02c03f01p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f01p15-ch2sk1fk1fl1","15"
"r02c03f01p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f01p16-ch2sk1fk1fl1","16"
"r02c03f02p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p01-ch2sk1fk1fl1","01"
"r02c03f02p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p02-ch2sk1fk1fl1","02"
"r02c03f02p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p03-ch2sk1fk1fl1","03"
"r02c03f02p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p04-ch2sk1fk1fl1","04"
"r02c03f02p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p05-ch2sk1fk1fl1","05"
"r02c03f02p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p06-ch2sk1fk1fl1","06"
"r02c03f02p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p07-ch2sk1fk1fl1","07"
"r02c03f02p08-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p08-ch2sk1fk1fl1","08"
"r02c03f02p09-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p09-ch2sk1fk1fl1","09"
"r02c03f02p10-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p10-ch2sk1fk1fl1","10"
"r02c03f02p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p11-ch2sk1fk1fl1","11"
"r02c03f02p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p12-ch2sk1fk1fl1","12"
"r02c03f02p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p13-ch2sk1fk1fl1","13"
"r02c03f02p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p14-ch2sk1fk1fl1","14"
"r02c03f02p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p15-ch2sk1fk1fl1","15"
"r02c03f02p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f02p16-ch2sk1fk1fl1","16"
"r02c03f03p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p01-ch2sk1fk1fl1","01"
"r02c03f03p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p02-ch2sk1fk1fl1","02"
"r02c03f03p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p03-ch2sk1fk1fl1","03"
"r02c03f03p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p04-ch2sk1fk1fl1","04"
"r02c03f03p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p05-ch2sk1fk1fl1","05"
"r02c03f03p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p06-ch2sk1fk1fl1","06"
"r02c03f03p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p07-ch2sk1fk1fl1","07"
"r02c03f03p08-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p08-ch2sk1fk1fl1","08"
"r02c03f03p09-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p09-ch2sk1fk1fl1","09"
"r02c03f03p10-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p10-ch2sk1fk1fl1","10"
"r02c03f03p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p11-ch2sk1fk1fl1","11"
"r02c03f03p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p12-ch2sk1fk1fl1","12"
"r02c03f03p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p13-ch2sk1fk1fl1","13"
"r02c03f03p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p14-ch2sk1fk1fl1","14"
"r02c03f03p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p15-ch2sk1fk1fl1","15"
"r02c03f03p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f03","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f03p16-ch2sk1fk1fl1","16"
"r02c03f04p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p01-ch2sk1fk1fl1","01"
"r02c03f04p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p02-ch2sk1fk1fl1","02"
"r02c03f04p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p03-ch2sk1fk1fl1","03"
"r02c03f04p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p04-ch2sk1fk1fl1","04"
"r02c03f04p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p05-ch2sk1fk1fl1","05"
"r02c03f04p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p06-ch2sk1fk1fl1","06"
"r02c03f04p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p07-ch2sk1fk1fl1","07"
"r02c03f04p08-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p08-ch2sk1fk1fl1","08"
"r02c03f04p09-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p09-ch2sk1fk1fl1","09"
"r02c03f04p10-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p10-ch2sk1fk1fl1","10"
"r02c03f04p11-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p11-ch2sk1fk1fl1","11"
"r02c03f04p12-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p12-ch2sk1fk1fl1","12"
"r02c03f04p13-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p13-ch2sk1fk1fl1","13"
"r02c03f04p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p14-ch2sk1fk1fl1","14"
"r02c03f04p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f04","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c03f04p15-ch2sk1fk1fl1","15"
